Country,Segment,Date,observed_default_rate,observed_loss_rate,estimated_pd,estimated_lgd
Spain,Corporates - Of Which: SME,Mar-22,4.25%,22.70%,4.19%,39.39%
Spain,Retail,Mar-22,2.09%,26.16%,1.84%,29.68%
Spain,Retail - Secured on real estate property,Mar-22,1.93%,17.77%,1.34%,21.39%
Spain,Retail - Qualifying Revolving,Mar-22,0.82%,54.27%,2.62%,62.76%
Spain,Retail - Other Retail,Mar-22,3.58%,37.96%,3.85%,51.82%
Sweden,Corporates,Mar-22,0.13%,20.25%,0.62%,25.17%
Sweden,Corporates - Of Which: Specialised Lending,Mar-22,,,1.52%,28.63%
Sweden,Corporates - Of Which: SME,Mar-22,0.17%,13.73%,0.68%,18.02%
Sweden,Retail,Mar-22,0.12%,14.24%,0.32%,12.37%
Sweden,Retail - Secured on real estate property,Mar-22,0.08%,5.31%,0.25%,10.67%
Sweden,Retail - Qualifying Revolving,Mar-22,0.90%,53.45%,1.60%,64.62%
Sweden,Retail - Other Retail,Mar-22,0.59%,30.02%,1.35%,35.65%
United Kingdom,Corporates,Mar-22,1.20%,28.20%,1.02%,34.90%
United Kingdom,Corporates - Of Which: Specialised Lending,Mar-22,2.21%,,1.95%,25.26%
United Kingdom,Corporates - Of Which: SME,Mar-22,8.58%,39.53%,3.35%,29.71%
United Kingdom,Retail,Mar-22,2.98%,7.00%,2.60%,11.71%
United Kingdom,Retail - Secured on real estate property,Mar-22,3.13%,5.22%,2.63%,8.00%
United Kingdom,Retail - Qualifying Revolving,Mar-22,1.23%,50.41%,2.06%,71.26%
United Kingdom,Retail - Other Retail,Mar-22,1.57%,62.22%,2.55%,51.42%
Australia,Corporates,Mar-22,0.24%,,1.33%,21.76%
Australia,Corporates - Of Which: Specialised Lending,Mar-22,,,0.91%,16.00%
Australia,Corporates - Of Which: SME,Mar-22,,,0.84%,9.72%
Australia,Retail,Mar-22,0.77%,3.81%,0.48%,10.96%
Australia,Retail - Secured on real estate property,Mar-22,0.74%,2.18%,0.42%,10.29%
Australia,Retail - Qualifying Revolving,Mar-22,0.70%,54.57%,1.32%,59.59%
Australia,Retail - Other Retail,Mar-22,2.05%,21.62%,2.25%,30.59%
Canada,Corporates,Mar-22,,,0.89%,28.41%
Canada,Corporates - Of Which: Specialised Lending,Mar-22,,,1.37%,24.30%
Canada,Corporates - Of Which: SME,Mar-22,,,1.53%,21.03%
Canada,Retail,Mar-22,1.44%,14.85%,2.17%,18.72%
Canada,Retail - Secured on real estate property,Mar-22,2.02%,13.24%,0.98%,15.82%
Canada,Retail - Qualifying Revolving,Mar-22,0.83%,29.78%,1.98%,52.89%
Canada,Retail - Other Retail,Mar-22,1.60%,14.86%,2.43%,19.05%
China,Corporates,Mar-22,,,0.82%,47.08%
China,Corporates - Of Which: Specialised Lending,Mar-22,,,1.46%,31.93%
China,Corporates - Of Which: SME,Mar-22,,,6.25%,38.97%
China,Retail,Mar-22,0.72%,9.61%,0.64%,16.10%
China,Retail - Secured on real estate property,Mar-22,0.20%,,0.72%,15.10%
China,Retail - Qualifying Revolving,Mar-22,1.20%,50.80%,1.04%,55.82%
China,Retail - Other Retail,Mar-22,1.01%,10.29%,0.93%,16.45%
Hong Kong,Corporates,Mar-22,2.52%,,1.41%,32.93%
Hong Kong,Corporates - Of Which: Specialised Lending,Mar-22,,,2.56%,18.28%
Hong Kong,Corporates - Of Which: SME,Mar-22,,,3.45%,40.83%
Hong Kong,Retail,Mar-22,0.15%,25.25%,0.49%,9.88%
Hong Kong,Retail - Secured on real estate property,Mar-22,,,0.63%,15.71%
Hong Kong,Retail - Qualifying Revolving,Mar-22,,,1.19%,50.26%
Hong Kong,Retail - Other Retail,Mar-22,0.22%,81.75%,0.42%,6.50%
India,Corporates,Mar-22,,,1.77%,38.89%
India,Corporates - Of Which: Specialised Lending,Mar-22,,,1.98%,19.08%
India,Corporates - Of Which: SME,Mar-22,,,3.70%,34.98%
India,Retail,Mar-22,0.93%,47.63%,1.07%,33.20%
